,usia,gender,transaksi,pembayaran
0,48,P,20,Buruk
1,53,L,16,Buruk
2,30,P,23,Buruk
3,46,L,1,Sedang
4,51,P,26,Sedang
5,35,P,16,Bagus
6,32,L,8,Buruk
7,56,P,2,Bagus
8,44,P,24,Buruk
9,47,P,12,Buruk
10,33,P,14,Bagus
11,31,P,17,Buruk
12,54,P,48,Buruk
13,20,L,6,Bagus
14,47,L,36,Bagus
15,42,L,32,Sedang
16,54,L,40,Bagus
17,17,P,1,Buruk
18,33,L,31,Bagus
19,22,L,33,Sedang
20,33,L,35,Buruk
21,53,P,39,Bagus
22,28,L,9,Bagus
23,55,L,43,Bagus
24,38,P,26,Sedang
25,18,L,42,Bagus
26,28,P,11,Bagus
27,47,L,11,Buruk
28,22,P,37,Sedang
29,35,L,14,Buruk
30,59,P,0,Buruk
31,48,L,5,Buruk
32,45,L,36,Buruk
33,32,P,2,Bagus
34,25,P,26,Bagus
35,55,L,46,Buruk
36,46,L,14,Sedang
37,20,P,1,Buruk
38,39,P,39,Buruk
39,31,L,30,Bagus
40,53,L,9,Bagus
41,50,P,22,Sedang
42,24,P,30,Bagus
43,55,P,44,Sedang
44,60,P,26,Sedang
45,54,L,7,Buruk
46,20,P,40,Sedang
47,39,L,37,Bagus
48,43,P,23,Sedang
49,59,P,47,Sedang
50,51,L,38,Bagus
51,17,L,45,Bagus
52,34,P,50,Buruk
53,49,P,27,Buruk
54,24,P,9,Buruk
55,30,L,15,Buruk
56,45,P,32,Buruk
57,40,P,6,Bagus
58,18,L,12,Bagus
59,57,L,13,Sedang
60,40,P,15,Sedang
61,35,L,3,Buruk
62,41,L,4,Bagus
63,21,P,15,Bagus
64,44,P,1,Buruk
65,30,L,5,Bagus
66,21,P,46,Bagus
67,52,P,19,Bagus
68,22,L,9,Buruk
69,22,L,32,Bagus
70,27,L,38,Bagus
71,25,P,18,Sedang
72,22,L,19,Sedang
73,57,P,23,Buruk
74,22,P,18,Sedang
75,21,P,5,Bagus
76,39,L,35,Sedang
77,31,P,11,Buruk
78,32,L,3,Bagus
79,43,L,37,Bagus
80,18,P,44,Bagus
81,24,L,38,Sedang
82,30,P,32,Buruk
83,25,L,11,Bagus
84,53,P,6,Buruk
85,23,L,0,Sedang
86,43,P,29,Buruk
87,30,L,7,Bagus
88,44,L,33,Sedang
89,45,L,33,Buruk
90,40,P,8,Bagus
91,41,L,22,Bagus
92,59,L,31,Buruk
93,60,L,11,Bagus
94,28,P,34,Buruk
95,24,P,46,Bagus
96,20,L,21,Bagus
97,30,L,11,Buruk
98,40,L,9,Bagus
99,47,P,47,Buruk
100,45,L,14,Bagus
101,56,L,9,Sedang
102,25,P,0,Sedang
103,56,L,29,Buruk
104,30,L,43,Buruk
105,20,P,33,Sedang
106,56,P,20,Bagus
107,36,L,11,Bagus
108,46,L,7,Buruk
109,41,P,26,Buruk
110,37,L,22,Sedang
111,27,P,31,Bagus
112,27,P,16,Sedang
113,51,L,15,Sedang
114,34,L,20,Buruk
115,34,P,27,Bagus
116,44,P,21,Buruk
117,43,L,48,Sedang
118,25,L,34,Bagus
119,19,P,26,Sedang
120,42,L,19,Buruk
121,28,L,29,Sedang
122,40,L,48,Bagus
123,25,P,42,Bagus
124,30,P,24,Buruk
125,25,P,12,Buruk
126,30,L,24,Buruk
127,24,P,27,Bagus
128,31,L,24,Sedang
129,51,P,49,Sedang
130,55,P,39,Buruk
131,40,P,17,Buruk
132,46,L,37,Buruk
133,19,P,48,Buruk
134,45,P,39,Buruk
135,53,L,27,Bagus
136,23,P,19,Sedang
137,43,L,29,Bagus
138,17,L,12,Buruk
139,50,L,44,Buruk
140,53,P,16,Sedang
141,52,P,37,Sedang
142,46,P,18,Buruk
143,23,L,23,Sedang
144,47,L,49,Sedang
145,41,P,32,Buruk
146,24,P,43,Buruk
147,18,L,2,Bagus
148,27,P,25,Bagus
149,54,P,42,Sedang
150,39,P,5,Sedang
151,58,L,11,Buruk
152,20,L,40,Sedang
153,56,L,27,Buruk
154,33,L,22,Bagus
155,54,L,3,Buruk
156,23,P,15,Buruk
157,23,L,11,Bagus
158,29,L,9,Sedang
159,21,P,33,Bagus
160,17,L,44,Sedang
161,45,P,19,Sedang
162,60,L,3,Buruk
163,33,L,42,Sedang
164,48,P,0,Bagus
165,21,P,35,Buruk
166,39,L,32,Sedang
167,50,L,30,Buruk
168,44,P,9,Sedang
169,40,P,41,Sedang
170,58,P,2,Buruk
171,34,P,46,Sedang
172,23,P,6,Bagus
173,20,L,44,Buruk
174,28,L,19,Buruk
175,31,L,33,Bagus
176,32,P,47,Buruk
177,28,P,46,Buruk
178,54,P,36,Buruk
179,21,L,43,Buruk
180,25,L,28,Bagus
181,29,P,31,Buruk
182,32,P,12,Buruk
183,20,P,5,Bagus
184,41,L,21,Bagus
185,40,L,0,Sedang
186,21,P,26,Buruk
187,27,L,30,Buruk
188,50,P,11,Buruk
189,53,P,47,Buruk
190,40,L,16,Bagus
191,56,L,37,Bagus
192,38,L,16,Sedang
193,42,L,9,Bagus
194,18,P,45,Buruk
195,37,L,16,Sedang
196,24,L,21,Bagus
197,36,P,35,Buruk
198,36,P,2,Bagus
199,29,P,8,Buruk
200,59,P,11,Bagus
201,20,P,4,Sedang
202,23,P,33,Bagus
203,54,L,24,Buruk
204,35,P,38,Sedang
205,21,P,43,Sedang
206,48,P,26,Bagus
207,59,P,34,Sedang
208,50,P,33,Sedang
209,32,P,30,Bagus
210,52,L,17,Sedang
211,36,P,24,Buruk
212,56,L,1,Sedang
213,57,P,31,Sedang
214,29,P,44,Sedang
215,25,P,33,Bagus
216,33,L,9,Buruk
217,60,L,39,Bagus
218,60,L,7,Sedang
219,37,L,30,Buruk
220,36,L,16,Buruk
221,40,L,32,Buruk
222,39,L,39,Bagus
223,24,P,17,Bagus
224,20,P,17,Buruk
225,30,P,14,Buruk
226,46,P,16,Sedang
227,37,P,41,Bagus
228,45,P,11,Sedang
229,38,P,7,Buruk
230,30,P,44,Bagus
231,54,P,18,Sedang
232,54,P,26,Buruk
233,45,P,1,Sedang
234,40,L,14,Buruk
235,52,P,33,Sedang
236,59,P,45,Bagus
237,38,P,6,Bagus
238,46,P,9,Sedang
239,46,P,28,Bagus
240,19,P,45,Sedang
241,34,L,45,Buruk
242,22,P,21,Bagus
243,20,P,41,Buruk
244,19,P,18,Bagus
245,58,L,44,Bagus
246,47,L,17,Bagus
247,19,P,1,Bagus
248,56,P,26,Sedang
249,49,P,48,Buruk
250,33,P,16,Buruk
251,43,L,21,Sedang
252,52,L,23,Bagus
253,20,P,48,Sedang
254,32,P,5,Bagus
255,51,L,50,Buruk
256,28,P,24,Bagus
257,20,P,37,Buruk
258,35,P,39,Sedang
259,59,P,41,Sedang
260,27,L,12,Bagus
261,34,L,7,Sedang
262,43,P,21,Buruk
263,17,L,47,Sedang
264,37,P,2,Bagus
265,18,P,8,Bagus
266,17,P,4,Sedang
267,20,L,34,Sedang
268,22,P,28,Sedang
269,56,L,31,Sedang
270,21,P,42,Bagus
271,31,L,35,Sedang
272,41,L,30,Sedang
273,43,L,20,Sedang
274,24,L,0,Sedang
275,34,L,46,Bagus
276,53,L,5,Sedang
277,48,P,12,Buruk
278,56,P,4,Bagus
279,57,L,10,Buruk
280,23,P,20,Buruk
281,26,P,32,Buruk
282,43,L,22,Sedang
283,45,L,38,Bagus
284,22,P,5,Sedang
285,55,P,3,Buruk
286,47,P,30,Bagus
287,60,P,46,Sedang
288,52,L,45,Bagus
289,31,P,42,Bagus
290,50,L,6,Buruk
291,22,P,42,Bagus
292,42,L,42,Bagus
293,49,P,44,Bagus
294,34,L,45,Bagus
295,31,L,29,Buruk
296,49,L,41,Sedang
297,55,P,0,Buruk
298,26,P,47,Bagus
299,33,L,34,Sedang
300,34,P,33,Buruk
301,48,P,13,Bagus
302,34,P,17,Bagus
303,17,L,5,Buruk
304,24,L,6,Sedang
305,29,L,39,Buruk
306,35,L,28,Buruk
307,37,L,30,Bagus
308,17,P,44,Bagus
309,20,L,39,Sedang
310,46,L,1,Sedang
311,37,L,16,Sedang
312,60,P,9,Buruk
313,45,P,18,Buruk
314,59,L,45,Sedang
315,29,P,2,Buruk
316,60,L,27,Bagus
317,53,P,31,Sedang
318,56,P,43,Sedang
319,42,P,22,Buruk
320,22,L,19,Sedang
321,30,P,44,Bagus
322,59,P,36,Buruk
323,17,L,1,Sedang
324,59,L,11,Buruk
325,25,P,1,Sedang
326,22,P,28,Sedang
327,30,L,32,Sedang
328,58,L,23,Bagus
329,22,L,27,Bagus
330,39,L,9,Buruk
331,37,L,10,Sedang
332,50,L,28,Buruk
333,26,L,39,Bagus
334,46,P,8,Buruk
335,48,P,29,Sedang
336,45,P,8,Buruk
337,23,L,21,Bagus
338,56,P,41,Bagus
339,37,L,13,Bagus
340,54,L,3,Sedang
341,20,L,18,Buruk
342,25,L,25,Sedang
343,59,L,22,Bagus
344,34,P,39,Buruk
345,22,L,37,Buruk
346,25,P,37,Sedang
347,53,L,22,Sedang
348,54,P,30,Buruk
349,34,L,50,Bagus
350,21,L,20,Buruk
351,46,P,41,Sedang
352,24,P,16,Sedang
353,57,P,25,Buruk
354,44,L,25,Buruk
355,34,P,0,Bagus
356,56,P,16,Bagus
357,53,P,13,Sedang
358,32,P,30,Bagus
359,40,P,48,Buruk
360,41,P,44,Sedang
361,46,P,12,Bagus
362,17,P,4,Buruk
363,56,P,39,Sedang
364,50,L,33,Bagus
365,18,L,2,Bagus
366,42,L,7,Sedang
367,51,P,9,Bagus
368,38,L,36,Buruk
369,35,L,47,Sedang
370,55,L,40,Bagus
371,31,P,7,Bagus
372,36,P,36,Buruk
373,41,L,13,Bagus
374,49,P,16,Sedang
375,37,L,38,Buruk
376,17,L,33,Sedang
377,53,L,42,Sedang
378,46,L,37,Buruk
379,47,L,19,Bagus
380,39,L,42,Buruk
381,37,P,18,Bagus
382,47,P,24,Buruk
383,32,L,37,Bagus
384,29,P,25,Buruk
385,43,L,30,Bagus
386,50,P,28,Buruk
387,60,P,38,Buruk
388,46,P,26,Sedang
389,20,L,30,Buruk
390,18,L,47,Sedang
391,58,L,5,Sedang
392,50,P,26,Sedang
393,50,L,35,Bagus
394,26,P,5,Buruk
395,45,P,3,Bagus
396,23,L,37,Sedang
397,26,L,23,Sedang
398,51,L,49,Buruk
399,29,L,26,Bagus
400,46,L,6,Buruk
401,50,P,35,Sedang
402,47,L,30,Sedang
403,47,P,23,Bagus
404,59,P,25,Bagus
405,56,L,39,Buruk
406,27,L,48,Sedang
407,33,P,6,Bagus
408,47,P,42,Sedang
409,26,L,16,Sedang
410,42,L,1,Sedang
411,58,L,27,Buruk
412,50,L,4,Sedang
413,57,L,25,Buruk
414,43,P,46,Buruk
415,45,P,26,Sedang
416,23,L,13,Bagus
417,30,P,6,Buruk
418,27,L,1,Sedang
419,20,L,41,Sedang
420,42,P,24,Sedang
421,18,P,30,Bagus
422,52,P,47,Bagus
423,38,P,17,Buruk
424,20,P,2,Buruk
425,31,L,22,Sedang
426,58,L,26,Bagus
427,51,L,24,Bagus
428,21,L,0,Bagus
429,41,P,40,Buruk
430,17,P,20,Sedang
431,54,L,35,Bagus
432,26,L,48,Bagus
433,54,L,46,Bagus
434,38,P,7,Sedang
435,21,L,13,Bagus
436,49,P,27,Bagus
437,24,L,18,Buruk
438,41,L,41,Sedang
439,39,L,31,Sedang
440,54,L,47,Bagus
441,36,L,17,Buruk
442,39,P,38,Buruk
443,20,P,29,Buruk
444,34,P,7,Buruk
445,22,L,11,Buruk
446,28,L,49,Bagus
447,47,L,39,Bagus
448,49,L,28,Sedang
449,22,P,34,Buruk
450,58,L,39,Bagus
451,45,L,15,Bagus
452,27,P,15,Buruk
453,25,P,3,Buruk
454,58,P,35,Sedang
455,41,L,26,Sedang
456,27,P,16,Buruk
457,38,P,2,Buruk
458,51,L,7,Sedang
459,40,L,41,Buruk
460,51,P,11,Sedang
461,50,P,40,Bagus
462,30,L,34,Sedang
463,40,P,21,Sedang
464,45,L,49,Bagus
465,35,L,38,Sedang
466,41,L,17,Bagus
467,27,P,14,Buruk
468,27,L,41,Bagus
469,54,P,24,Bagus
470,31,L,3,Sedang
471,35,P,30,Buruk
472,56,P,23,Buruk
473,39,L,21,Buruk
474,57,P,0,Bagus
475,25,P,2,Buruk
476,23,L,25,Buruk
477,34,P,21,Bagus
478,32,P,15,Bagus
479,34,L,11,Bagus
480,46,L,1,Buruk
481,46,P,43,Bagus
482,21,P,30,Sedang
483,37,L,12,Bagus
484,24,L,42,Bagus
485,24,L,7,Buruk
486,54,L,50,Sedang
487,49,P,21,Buruk
488,25,P,13,Buruk
489,25,P,26,Buruk
490,20,P,19,Sedang
491,22,P,31,Buruk
492,35,P,46,Bagus
493,19,P,42,Bagus
494,56,L,28,Buruk
495,42,P,47,Buruk
496,57,L,30,Sedang
497,44,P,44,Buruk
498,34,P,14,Sedang
499,33,P,28,Bagus
500,28,P,43,Buruk
501,55,P,41,Bagus
502,50,L,23,Buruk
503,46,P,6,Sedang
504,58,P,12,Buruk
505,37,P,21,Buruk
506,48,L,34,Buruk
507,20,L,45,Sedang
508,22,P,30,Bagus
509,35,P,30,Buruk
510,36,P,32,Bagus
511,29,P,17,Buruk
512,37,P,34,Sedang
513,52,L,44,Bagus
514,50,L,33,Bagus
515,34,L,29,Sedang
516,42,L,49,Bagus
517,18,L,15,Sedang
518,33,P,14,Buruk
519,53,P,39,Sedang
520,45,L,0,Buruk
521,27,L,7,Buruk
522,58,P,47,Sedang
523,44,P,15,Buruk
524,39,P,35,Bagus
525,44,L,29,Buruk
526,47,L,34,Buruk
527,59,L,24,Sedang
528,22,P,4,Bagus
529,27,L,8,Buruk
530,24,P,6,Sedang
531,48,L,18,Buruk
532,49,P,27,Sedang
533,22,L,12,Buruk
534,36,P,20,Bagus
535,26,P,25,Buruk
536,54,P,38,Sedang
537,51,P,43,Bagus
538,50,P,23,Bagus
539,57,P,50,Buruk
540,33,L,31,Buruk
541,57,P,49,Buruk
542,32,P,45,Buruk
543,49,L,17,Buruk
544,22,P,33,Sedang
545,59,P,28,Buruk
546,49,L,39,Bagus
547,36,P,31,Sedang
548,25,P,49,Bagus
549,52,P,46,Bagus
550,19,P,47,Buruk
551,54,P,33,Bagus
552,51,L,50,Buruk
553,32,L,20,Sedang
554,43,L,31,Buruk
555,20,L,14,Buruk
556,60,L,23,Bagus
557,44,L,19,Bagus
558,51,L,31,Buruk
559,42,P,27,Bagus
560,57,L,15,Sedang
561,48,P,9,Buruk
562,33,L,36,Bagus
563,52,L,3,Sedang
564,43,L,11,Bagus
565,54,P,42,Buruk
566,51,P,41,Buruk
567,57,L,7,Sedang
568,41,L,22,Buruk
569,39,P,32,Buruk
570,47,L,24,Sedang
571,55,L,26,Buruk
572,48,L,16,Buruk
573,45,L,23,Buruk
574,41,P,12,Bagus
575,17,L,14,Buruk
576,38,P,13,Bagus
577,47,L,36,Buruk
578,29,P,44,Bagus
579,56,P,37,Buruk
580,36,L,36,Sedang
581,23,P,47,Sedang
582,38,L,42,Sedang
583,56,P,10,Bagus
584,19,P,38,Buruk
585,27,P,20,Bagus
586,53,P,6,Bagus
587,43,P,24,Sedang
588,58,L,7,Sedang
589,60,L,30,Bagus
590,17,P,36,Sedang
591,25,P,47,Sedang
592,34,L,40,Bagus
593,49,P,21,Sedang
594,25,P,25,Sedang
595,45,L,3,Sedang
596,55,P,29,Bagus
597,40,P,22,Buruk
598,28,P,5,Sedang
599,36,P,4,Bagus
600,46,P,48,Buruk
601,46,P,4,Sedang
602,57,L,29,Bagus
603,41,L,9,Buruk
604,42,L,3,Bagus
605,19,P,18,Buruk
606,19,P,18,Bagus
607,19,L,42,Bagus
608,53,P,45,Sedang
609,31,L,32,Sedang
610,53,L,40,Sedang
611,59,P,6,Buruk
612,59,P,49,Sedang
613,52,L,14,Sedang
614,48,L,10,Bagus
615,32,P,36,Bagus
